Retrieved by E4-Web: 2014/06/12,18:51:25                             1 0  0    0
 9.925400+4 2.519050+2         -1          0          0          29914 1451    1
 0.000000+0 1.000000+0          0          0          0          69914 1451    2
 1.000000+0 2.000000+7          1          0         11          79914 1451    3
 0.000000+0 0.000000+0          0          0         10          39914 1451    4
 99-Es-254            EVAL-JUL89 T.R. ENGLAND ET AL               9914 1451    5
 ENDF-349             DIST-DEC06 REV1-OCT92            20111222   9914 1451    6
----ENDF/B-VII.1      MATERIAL 9914         REVISION 1            9914 1451    7
-----NEUTRON-INDUCED FISSION PRODUCT YIELDS                       9914 1451    8
------ENDF-6 FORMAT                                               9914 1451    9
                                                                  9914 1451   10
 REFERENCE: T.R. ENGLAND, B.F. RIDER, EVALUATION AND              9914 1451   11
  COMPILATION OF FISSION-PRODUCT YIELDS, 1992, ENDF-349           9914 1451   12
----FORMATTED BY D.C. GEORGE                                      9914 1451   13
                                                                  9914 1451   14
                                1        451         17          29914 1451   15
                                8        454        832          29914 1451   16
                                8        459        832          29914 1451   17
 0.000000+0 0.000000+0          0          0          0          09914 1  099999
 0.000000+0 0.000000+0          0          0          0          09914 0  0    0
 9.925400+4 2.519050+2          1          0          0          09914 8454    1
 2.530000-2 0.000000+0          0          0       4980       12459914 8454    2
 2.406600+4 0.000000+0 0.000000+0 0.000000+0 2.406700+4 0.000000+09914 8454    3
 0.000000+0 0.000000+0 2.406800+4 0.000000+0 0.000000+0 0.000000+09914 8454    4
 2.407000+4 0.000000+0 0.000000+0 0.000000+0 2.506600+4 0.000000+09914 8454    5
 8.01000-13 5.12640-13 2.506700+4 0.000000+0 2.30000-13 1.47200-139914 8454    6
 2.506800+4 0.000000+0 4.50000-14 2.88000-14 2.506900+4 0.000000+09914 8454    7
 0.000000+0 0.000000+0 2.507000+4 0.000000+0 0.000000+0 0.000000+09914 8454    8
 2.507100+4 0.000000+0 0.000000+0 0.000000+0 2.606600+4 0.000000+09914 8454    9
 2.22000-11 1.42080-11 2.606700+4 0.000000+0 1.69000-11 1.08160-119914 8454   10
 2.606800+4 0.000000+0 8.96000-12 5.73440-12 2.606900+4 0.000000+09914 8454   11
 3.28000-12 2.09920-12 2.607000+4 0.000000+0 8.15000-13 5.21600-139914 8454   12
 2.607100+4 0.000000+0 1.16000-13 7.42400-14 2.607200+4 0.000000+09914 8454   13
 0.000000+0 0.000000+0 2.607300+4 0.000000+0 0.000000+0 0.000000+09914 8454   14
 2.607400+4 0.000000+0 0.000000+0 0.000000+0 2.607500+4 0.000000+09914 8454   15
 5.18319-18 3.31724-18 2.607600+4 0.000000+0 0.000000+0 0.000000+09914 8454   16
 2.706600+4 0.000000+0 5.61000-11 3.59040-11 2.706700+4 0.000000+09914 8454   17
 1.03000-10 6.59200-11 2.706800+4 0.000000+0 1.37000-10 8.76800-119914 8454   18
 2.706900+4 0.000000+0 1.30000-10 8.32000-11 2.707000+4 0.000000+09914 8454   19
 8.39000-11 5.36960-11 2.707100+4 0.000000+0 3.27000-11 2.09280-119914 8454   20
 2.707200+4 0.000000+0 3.25000-12 2.08000-12 2.707300+4 0.000000+09914 8454   21
 2.37000-12 1.51680-12 2.707400+4 0.000000+0 3.65000-13 2.33600-139914 8454   22
 2.707500+4 0.000000+0 3.20948-14 2.05407-14 2.707600+4 0.000000+09914 8454   23
 0.000000+0 0.000000+0 2.707700+4 0.000000+0 1.07341-16 6.86981-179914 8454   24
 2.707800+4 0.000000+0 7.12469-18 4.55980-18 2.806600+4 0.000000+09914 8454   25
 1.44000-11 9.21600-12 2.806700+4 0.000000+0 6.36000-11 4.07040-119914 8454   26
 2.806800+4 0.000000+0 2.00000-10 1.28000-10 2.806900+4 0.000000+09914 8454   27
 4.52000-10 2.89280-10 2.807000+4 0.000000+0 6.99000-10 4.47360-109914 8454   28
