Retrieved by E4-Web: 2014/06/26,16:58:04                             1 0  0    0
 9.825200+4 2.499200+2         -1          0          0          29861 1451    1
 0.000000+0 1.000000+0          0          0          0          69861 1451    2
 0.000000+0 0.000000+0          1          0          5          79861 1451    3
 0.000000+0 0.000000+0          0          0         10          39861 1451    4
 98-Cf-252            EVAL-JUL89 T.R. ENGLAND ET AL               9861 1451    5
 ENDF-349             DIST-DEC06 REV1-OCT92            20111222   9861 1451    6
----ENDF/B-VII.1      MATERIAL 9861         REVISION 1            9861 1451    7
-----SPONTANEOUS FISSION PRODUCT YIELDS                           9861 1451    8
------ENDF-6 FORMAT                                               9861 1451    9
                                                                  9861 1451   10
 REFERENCE: T.R. ENGLAND, B.F. RIDER, EVALUATION AND              9861 1451   11
  COMPILATION OF FISSION-PRODUCT YIELDS, 1992, ENDF-349           9861 1451   12
----FORMATTED BY D.C. GEORGE                                      9861 1451   13
                                                                  9861 1451   14
                                1        451         17          29861 1451   15
                                8        454        832          29861 1451   16
                                8        459        832          29861 1451   17
 0.000000+0 0.000000+0          0          0          0          09861 1  099999
 0.000000+0 0.000000+0          0          0          0          09861 0  0    0
 9.825200+4 2.499200+2          1          0          0          09861 8454    1
 0.000000+0 0.000000+0          0          0       4980       12459861 8454    2
 2.306600+4 0.000000+0 1.85674-17 1.18831-17 2.306700+4 0.000000+09861 8454    3
 4.41524-18 2.82575-18 2.406600+4 0.000000+0 1.51978-13 9.72657-149861 8454    4
 2.406700+4 0.000000+0 3.06948-14 1.96447-14 2.406800+4 0.000000+09861 8454    5
 0.000000+0 0.000000+0 2.406900+4 0.000000+0 2.10958-16 1.35013-169861 8454    6
 2.407000+4 0.000000+0 0.000000+0 0.000000+0 2.407100+4 0.000000+09861 8454    7
 3.71648-18 2.37854-18 2.506600+4 0.000000+0 1.82995-11 1.17117-119861 8454    8
 2.506700+4 0.000000+0 1.00997-11 6.46384-12 2.506800+4 0.000000+09861 8454    9
 3.87990-12 2.48314-12 2.506900+4 0.000000+0 9.81765-13 6.28329-139861 8454   10
 2.507000+4 0.000000+0 1.47996-13 9.47176-14 2.507100+4 0.000000+09861 8454   11
 1.72959-14 1.10693-14 2.507200+4 0.000000+0 6.46194-16 4.13564-169861 8454   12
 2.507300+4 0.000000+0 9.99541-17 6.39706-17 2.606600+4 0.000000+09861 8454   13
 2.29994-10 1.47196-10 2.606700+4 0.000000+0 3.24992-10 2.07995-109861 8454   14
 2.606800+4 0.000000+0 3.18992-10 2.04155-10 2.606900+4 0.000000+09861 8454   15
 2.12995-10 1.36317-10 2.607000+4 0.000000+0 8.86978-11 5.67666-119861 8454   16
 2.607100+4 0.000000+0 2.80993-11 1.79836-11 2.607200+4 0.000000+09861 8454   17
 5.28922-12 3.38510-12 2.607300+4 0.000000+0 6.94883-13 4.44725-139861 8454   18
 2.607400+4 0.000000+0 5.91985-14 3.78871-14 2.607500+4 0.000000+09861 8454   19
 3.69499-15 2.36480-15 2.607600+4 0.000000+0 0.000000+0 0.000000+09861 8454   20
 2.706600+4 0.000000+0 2.43994-10 1.56156-10 2.706700+4 0.000000+09861 8454   21
 8.22979-10 5.26707-10 2.706800+4 0.000000+0 1.919950-9 1.228770-99861 8454   22
 2.706900+4 0.000000+0 3.119920-9 1.996750-9 2.707000+4 0.000000+09861 8454   23
 3.359920-9 2.150350-9 2.707100+4 0.000000+0 2.769930-9 1.772760-99861 8454   24
 2.707200+4 0.000000+0 1.419960-9 9.08777-10 2.707300+4 0.000000+09861 8454   25
 5.04987-10 3.23192-10 2.707400+4 0.000000+0 1.17997-10 7.55181-119861 8454   26
 2.707500+4 0.000000+0 1.71959-11 1.10054-11 2.707600+4 0.000000+09861 8454   27
 1.78996-12 1.14557-12 2.707700+4 0.000000+0 5.86781-14 3.75540-149861 8454   28
 2.707800+4 0.000000+0 1.02609-14 6.56699-15 2.806600+4 0.000000+09861 8454   29
 3.34992-11 2.14395-11 2.806700+4 0.000000+0 2.75993-10 1.76636-109861 8454   30
