Retrieved by E4-Web: 2014/06/12,18:16:13                             1 0  0    0
 9.524200+4 2.399800+2         -1          0          0          29547 1451    1
 4.879710+4 1.000000+0          5          1          0          69547 1451    2
 1.000000+0 2.000000+7          1          0         11          79547 1451    3
 0.000000+0 0.000000+0          0          0         10          39547 1451    4
 95-Am-242M           EVAL-JUL89 T.R. ENGLAND ET AL               9547 1451    5
 ENDF-349             DIST-DEC06 REV1-OCT92            20111222   9547 1451    6
----ENDF/B-VII.1      MATERIAL 9547         REVISION 1            9547 1451    7
-----NEUTRON-INDUCED FISSION PRODUCT YIELDS                       9547 1451    8
------ENDF-6 FORMAT                                               9547 1451    9
                                                                  9547 1451   10
 REFERENCE: T.R. ENGLAND, B.F. RIDER, EVALUATION AND              9547 1451   11
  COMPILATION OF FISSION-PRODUCT YIELDS, 1992, ENDF-349           9547 1451   12
----FORMATTED BY D.C. GEORGE                                      9547 1451   13
                                                                  9547 1451   14
                                1        451         17          29547 1451   15
                                8        454        827          29547 1451   16
                                8        459        827          29547 1451   17
 0.000000+0 0.000000+0          0          0          0          09547 1  099999
 0.000000+0 0.000000+0          0          0          0          09547 0  0    0
 9.524200+4 2.399800+2          1          0          0          09547 8454    1
 2.530000-2 0.000000+0          0          0       4948       12379547 8454    2
 2.306600+4 0.000000+0 3.06760-17 1.96327-17 2.306700+4 0.000000+09547 8454    3
 2.82263-18 1.80648-18 2.406600+4 0.000000+0 7.44969-13 4.76780-139547 8454    4
 2.406700+4 0.000000+0 5.67972-14 3.63502-14 2.406800+4 0.000000+09547 8454    5
 0.000000+0 0.000000+0 2.406900+4 0.000000+0 1.03826-16 6.64486-179547 8454    6
 2.407000+4 0.000000+0 0.000000+0 0.000000+0 2.506600+4 0.000000+09547 8454    7
 5.15000-10 3.29600-10 2.506700+4 0.000000+0 1.21000-10 7.74400-119547 8454    8
 2.506800+4 0.000000+0 1.41000-11 9.02400-12 2.506900+4 0.000000+09547 8454    9
 1.40990-12 9.02334-13 2.507000+4 0.000000+0 7.63000-14 4.88320-149547 8454   10
 2.507100+4 0.000000+0 0.000000+0 0.000000+0 2.507200+4 0.000000+09547 8454   11
 1.44116-16 9.22340-17 2.606600+4 0.000000+0 2.030000-8 1.299200-89547 8454   12
 2.606700+4 0.000000+0 1.390000-8 8.896000-9 2.606800+4 0.000000+09547 8454   13
 4.800000-9 3.072000-9 2.606900+4 0.000000+0 1.470000-9 9.40800-109547 8454   14
 2.607000+4 0.000000+0 2.48000-10 1.58720-10 2.607100+4 0.000000+09547 8454   15
 3.27000-11 2.09280-11 2.607200+4 0.000000+0 3.49986-12 2.23991-129547 8454   16
 2.607300+4 0.000000+0 1.93000-13 1.23520-13 2.607400+4 0.000000+09547 8454   17
 0.000000+0 0.000000+0 2.607500+4 0.000000+0 4.33713-16 2.77576-169547 8454   18
 2.607600+4 0.000000+0 0.000000+0 0.000000+0 2.706600+4 0.000000+09547 8454   19
 5.950000-8 3.808000-8 2.706700+4 0.000000+0 1.060000-7 6.784000-89547 8454   20
 2.706800+4 0.000000+0 9.890000-8 6.329600-8 2.706900+4 0.000000+09547 8454   21
 8.580000-8 5.491200-8 2.707000+4 0.000000+0 4.240000-8 2.713600-89547 8454   22
 2.707100+4 0.000000+0 1.680000-8 1.075200-8 2.707200+4 0.000000+09547 8454   23
 5.550000-9 3.552000-9 2.707300+4 0.000000+0 9.58000-10 6.13120-109547 8454   24
 2.707400+4 0.000000+0 9.70000-11 6.20800-11 2.707500+4 0.000000+09547 8454   25
 5.88957-12 3.76932-12 2.707600+4 0.000000+0 2.77000-13 1.77280-139547 8454   26
 2.707700+4 0.000000+0 8.39832-15 5.37492-15 2.806600+4 0.000000+09547 8454   27
 1.510000-8 9.664000-9 2.806700+4 0.000000+0 6.830000-8 4.371200-89547 8454   28
 2.806800+4 0.000000+0 1.610000-7 1.030400-7 2.806900+4 0.000000+09547 8454   29
 3.550000-7 2.272000-7 2.807000+4 0.000000+0 4.630000-7 2.963200-79547 8454   30
 2.807100+4 0.000000+0 5.060000-7 3.238400-7 2.807200+4 0.000000+09547 8454   31
 4.780000-7 3.059200-7 2.807300+4 0.000000+0 2.450000-7 1.568000-79547 8454   32
 2.807400+4 0.000000+0 7.540000-8 4.825600-8 2.807500+4 0.000000+09547 8454   33
 1.420000-8 9.088000-9 2.807600+4 0.000000+0 2.100000-9 1.344000-99547 8454   34
 2.807700+4 0.000000+0 1.68992-10 1.08155-10 2.807800+4 0.000000+09547 8454   35
 1.04000-11 6.65600-12 2.807900+4 0.000000+0 2.70242-13 1.72955-139547 8454   36
 2.808000+4 0.000000+0 0.000000+0 0.000000+0 2.808200+4 0.000000+09547 8454   37
 0.000000+0 0.000000+0 2.906600+4 0.000000+0 2.75000-10 1.76000-109547 8454   38
 2.906700+4 0.000000+0 3.500000-9 2.240000-9 2.906800+4 0.000000+09547 8454   39
 6.690000-9 4.281600-9 2.906800+4 1.000000+0 1.560000-8 9.984000-99547 8454   40
 2.906900+4 0.000000+0 1.280000-7 8.192000-8 2.907000+4 0.000000+09547 8454   41
 1.050000-7 6.720000-8 2.907000+4 1.000000+0 3.150000-7 2.016000-79547 8454   42
 2.907100+4 0.000000+0 1.160000-6 7.424000-7 2.907200+4 0.000000+09547 8454   43
 2.820000-6 1.804800-6 2.907300+4 0.000000+0 3.860000-6 2.470400-69547 8454   44
 2.907400+4 0.000000+0 3.330000-6 2.131200-6 2.907500+4 0.000000+09547 8454   45
 1.820000-6 1.164800-6 2.907600+4 0.000000+0 8.050000-7 5.152000-79547 8454   46
 2.907700+4 0.000000+0 2.000000-7 1.280000-7 2.907800+4 0.000000+09547 8454   47
 3.800000-8 2.432000-8 2.907900+4 0.000000+0 3.669730-9 2.348630-99547 8454   48
 2.908000+4 0.000000+0 2.23000-10 1.42720-10 2.908100+4 0.000000+09547 8454   49
 7.39000-12 4.72960-12 2.908200+4 0.000000+0 1.88000-13 1.20320-139547 8454   50
 2.908300+4 0.000000+0 1.08333-14 6.93333-15 3.006600+4 0.000000+09547 8454   51
 2.80000-13 1.79200-13 3.006700+4 0.000000+0 1.09000-11 6.97600-129547 8454   52
 3.006800+4 0.000000+0 2.07000-10 1.32480-10 3.006900+4 0.000000+09547 8454   53
 6.51000-10 4.16640-10 3.006900+4 1.000000+0 2.770000-9 1.772800-99547 8454   54
 3.007000+4 0.000000+0 3.130000-8 2.003200-8 3.007100+4 0.000000+09547 8454   55
 4.350000-8 2.784000-8 3.007100+4 1.000000+0 1.860000-7 1.190400-79547 8454   56
 3.007200+4 0.000000+0 1.430000-6 9.152000-7 3.007300+4 0.000000+09547 8454   57
 4.930000-6 3.155200-6 3.007400+4 0.000000+0 1.074000-5 6.873600-69547 8454   58
 3.007500+4 0.000000+0 1.532000-5 9.804800-6 3.007600+4 0.000000+09547 8454   59
