Retrieved by E4-Web: 2014/06/12,18:49:33                             1 0  0    0
 9.624600+4 2.439600+2         -1          0          0          29643 1451    1
 0.000000+0 1.000000+0          0          0          0          69643 1451    2
 0.000000+0 0.000000+0          1          0          5          79643 1451    3
 0.000000+0 0.000000+0          0          0         10          39643 1451    4
 96-Cm-246            EVAL-JUL89 T.R. ENGLAND ET AL               9643 1451    5
 ENDF-349             DIST-DEC06 REV1-OCT92            20111222   9643 1451    6
----ENDF/B-VII.1      MATERIAL 9643         REVISION 1            9643 1451    7
-----SPONTANEOUS FISSION PRODUCT YIELDS                           9643 1451    8
------ENDF-6 FORMAT                                               9643 1451    9
                                                                  9643 1451   10
 REFERENCE: T.R. ENGLAND, B.F. RIDER, EVALUATION AND              9643 1451   11
  COMPILATION OF FISSION-PRODUCT YIELDS, 1992, ENDF-349           9643 1451   12
----FORMATTED BY D.C. GEORGE                                      9643 1451   13
                                                                  9643 1451   14
                                1        451         17          29643 1451   15
                                8        454        829          29643 1451   16
                                8        459        829          29643 1451   17
 0.000000+0 0.000000+0          0          0          0          09643 1  099999
 0.000000+0 0.000000+0          0          0          0          09643 0  0    0
 9.624600+4 2.439600+2          1          0          0          09643 8454    1
 0.000000+0 0.000000+0          0          0       4960       12409643 8454    2
 2.306600+4 0.000000+0 3.20261-17 2.04967-17 2.306700+4 0.000000+09643 8454    3
 2.79392-17 1.78811-17 2.406600+4 0.000000+0 1.37997-12 8.83181-139643 8454    4
 2.406700+4 0.000000+0 8.90973-13 5.70223-13 2.406800+4 0.000000+09643 8454    5
 1.89000-14 1.20960-14 2.406900+4 0.000000+0 7.98595-16 5.11101-169643 8454    6
 2.407000+4 0.000000+0 0.000000+0 0.000000+0 2.506600+4 0.000000+09643 8454    7
 8.70001-10 5.56801-10 2.506700+4 0.000000+0 2.040000-9 1.305600-99643 8454    8
 2.506800+4 0.000000+0 1.24000-10 7.93601-11 2.506900+4 0.000000+09643 8454    9
 1.17992-11 7.55150-12 2.507000+4 0.000000+0 3.20000-13 2.04800-139643 8454   10
 2.507100+4 0.000000+0 1.01000-14 6.46401-15 2.507200+4 0.000000+09643 8454   11
 2.10258-16 1.34565-16 2.606600+4 0.000000+0 5.270010-8 3.372810-89643 8454   12
 2.606700+4 0.000000+0 3.270010-7 2.092800-7 2.606800+4 0.000000+09643 8454   13
 6.960010-8 4.454410-8 2.606900+4 0.000000+0 1.840000-8 1.177600-89643 8454   14
 2.607000+4 0.000000+0 1.830000-9 1.171200-9 2.607100+4 0.000000+09643 8454   15
 1.60000-10 1.02400-10 2.607200+4 0.000000+0 9.05980-12 5.79827-129643 8454   16
 2.607300+4 0.000000+0 2.88000-13 1.84320-13 2.607400+4 0.000000+09643 8454   17
 0.000000+0 0.000000+0 2.607500+4 0.000000+0 3.48540-16 2.23065-169643 8454   18
 2.607600+4 0.000000+0 0.000000+0 0.000000+0 2.706600+4 0.000000+09643 8454   19
 1.200000-7 7.680010-8 2.706700+4 0.000000+0 2.240000-6 1.433600-69643 8454   20
 2.706800+4 0.000000+0 1.180000-6 7.552010-7 2.706900+4 0.000000+09643 8454   21
 1.030000-6 6.592010-7 2.707000+4 0.000000+0 2.730000-7 1.747200-79643 8454   22
 2.707100+4 0.000000+0 8.210010-8 5.254410-8 2.707200+4 0.000000+09643 8454   23
 1.310000-8 8.384010-9 2.707300+4 0.000000+0 1.520000-9 9.72801-109643 8454   24
 2.707400+4 0.000000+0 9.73001-11 6.22721-11 2.707500+4 0.000000+09643 8454   25
 5.14966-12 3.29578-12 2.707600+4 0.000000+0 1.45000-13 9.28001-149643 8454   26
 2.707700+4 0.000000+0 3.26114-15 2.08713-15 2.806600+4 0.000000+09643 8454   27
 4.130010-8 2.643200-8 2.806700+4 0.000000+0 1.770000-6 1.132800-69643 8454   28
 2.806800+4 0.000000+0 2.690000-6 1.721600-6 2.806900+4 0.000000+09643 8454   29
 5.420010-6 3.468810-6 2.807000+4 0.000000+0 4.400010-6 2.816000-69643 8454   30
 2.807100+4 0.000000+0 3.230000-6 2.067200-6 2.807200+4 0.000000+09643 8454   31
 1.720000-6 1.100800-6 2.807300+4 0.000000+0 5.410010-7 3.462410-79643 8454   32
 2.807400+4 0.000000+0 1.230000-7 7.872010-8 2.807500+4 0.000000+09643 8454   33
 1.850000-8 1.184000-8 2.807600+4 0.000000+0 1.910000-9 1.222400-99643 8454   34
 2.807700+4 0.000000+0 1.03997-10 6.65580-11 2.807800+4 0.000000+09643 8454   35
 4.77001-12 3.05280-12 2.807900+4 0.000000+0 9.74557-14 6.23717-149643 8454   36
 2.808000+4 0.000000+0 0.000000+0 0.000000+0 2.808200+4 0.000000+09643 8454   37
