Retrieved by E4-Web: 2014/06/12,18:48:59                             1 0  0    0
 9.624400+4 2.419700+2         -1          0          0          29637 1451    1
 0.000000+0 1.000000+0          0          0          0          69637 1451    2
 0.000000+0 0.000000+0          1          0          5          79637 1451    3
 0.000000+0 0.000000+0          0          0         10          39637 1451    4
 96-Cm-244            EVAL-JUL89 T.R. ENGLAND ET AL               9637 1451    5
 ENDF-349             DIST-DEC06 REV1-OCT92            20111222   9637 1451    6
----ENDF/B-VII.1      MATERIAL 9637         REVISION 1            9637 1451    7
-----SPONTANEOUS FISSION PRODUCT YIELDS                           9637 1451    8
------ENDF-6 FORMAT                                               9637 1451    9
                                                                  9637 1451   10
 REFERENCE: T.R. ENGLAND, B.F. RIDER, EVALUATION AND              9637 1451   11
  COMPILATION OF FISSION-PRODUCT YIELDS, 1992, ENDF-349           9637 1451   12
----FORMATTED BY D.C. GEORGE                                      9637 1451   13
                                                                  9637 1451   14
                                1        451         17          29637 1451   15
                                8        454        818          29637 1451   16
                                8        459        818          29637 1451   17
 0.000000+0 0.000000+0          0          0          0          09637 1  099999
 0.000000+0 0.000000+0          0          0          0          09637 0  0    0
 9.624400+4 2.419700+2          1          0          0          09637 8454    1
 0.000000+0 0.000000+0          0          0       4896       12249637 8454    2
 2.306600+4 0.000000+0 1.37782-17 8.81805-18 2.306700+4 0.000000+09637 8454    3
 6.56914-19 4.20425-19 2.406600+4 0.000000+0 7.33989-13 4.69753-139637 8454    4
 2.406700+4 0.000000+0 2.58994-14 1.65756-14 2.406800+4 0.000000+09637 8454    5
 0.000000+0 0.000000+0 2.406900+4 0.000000+0 2.47981-17 1.58708-179637 8454    6
 2.407000+4 0.000000+0 0.000000+0 0.000000+0 2.506600+4 0.000000+09637 8454    7
 6.74002-10 4.31361-10 2.506700+4 0.000000+0 9.96003-11 6.37442-119637 8454    8
 2.506800+4 0.000000+0 7.17002-12 4.58881-12 2.506900+4 0.000000+09637 8454    9
 4.52977-13 2.89905-13 2.507000+4 0.000000+0 1.60001-14 1.02400-149637 8454   10
 2.507100+4 0.000000+0 0.000000+0 0.000000+0 2.507200+4 0.000000+09637 8454   11
 1.32338-17 8.46965-18 2.606600+4 0.000000+0 7.530020-8 4.819220-89637 8454   12
 2.606700+4 0.000000+0 2.900010-8 1.856010-8 2.606800+4 0.000000+09637 8454   13
 8.220030-9 5.260820-9 2.606900+4 0.000000+0 1.380000-9 8.83203-109637 8454   14
 2.607000+4 0.000000+0 2.00001-10 1.28000-10 2.607100+4 0.000000+09637 8454   15
 1.32000-11 8.44803-12 2.607200+4 0.000000+0 7.04989-13 4.51193-139637 8454   16
 2.607300+4 0.000000+0 1.78001-14 1.13920-14 2.607400+4 0.000000+09637 8454   17
 0.000000+0 0.000000+0 2.607600+4 0.000000+0 0.000000+0 0.000000+09637 8454   18
 2.706600+4 0.000000+0 2.070010-7 1.324800-7 2.706700+4 0.000000+09637 8454   19
 2.770010-7 1.772810-7 2.706800+4 0.000000+0 1.850010-7 1.184000-79637 8454   20
 2.706900+4 0.000000+0 1.160000-7 7.424020-8 2.707000+4 0.000000+09637 8454   21
 4.280010-8 2.739210-8 2.707100+4 0.000000+0 1.160000-8 7.424020-99637 8454   22
 2.707200+4 0.000000+0 1.660010-9 1.062400-9 2.707300+4 0.000000+09637 8454   23
 1.72001-10 1.10080-10 2.707400+4 0.000000+0 8.90003-12 5.69602-129637 8454   24
 2.707500+4 0.000000+0 4.22001-13 2.70081-13 2.707600+4 0.000000+09637 8454   25
 0.000000+0 0.000000+0 2.707700+4 0.000000+0 2.56171-16 1.63949-169637 8454   26
 2.806600+4 0.000000+0 1.140000-7 7.296020-8 2.806700+4 0.000000+09637 8454   27
 3.340010-7 2.137610-7 2.806800+4 0.000000+0 7.160020-7 4.582410-79637 8454   28
 2.806900+4 0.000000+0 9.780030-7 6.259220-7 2.807000+4 0.000000+09637 8454   29
 1.250000-6 8.000030-7 2.807100+4 0.000000+0 8.350030-7 5.344020-79637 8454   30
 2.807200+4 0.000000+0 4.530010-7 2.899210-7 2.807300+4 0.000000+09637 8454   31
 1.210000-7 7.744020-8 2.807400+4 0.000000+0 2.510010-8 1.606410-89637 8454   32
 2.807500+4 0.000000+0 3.320010-9 2.124810-9 2.807600+4 0.000000+09637 8454   33
 3.17001-10 2.02881-10 2.807700+4 0.000000+0 1.00998-11 6.46386-129637 8454   34
 2.807800+4 0.000000+0 3.68001-13 2.35521-13 2.807900+4 0.000000+09637 8454   35
 9.14189-15 5.85081-15 2.808000+4 0.000000+0 0.000000+0 0.000000+09637 8454   36
 2.808200+4 0.000000+0 0.000000+0 0.000000+0 2.906600+4 0.000000+09637 8454   37
 1.630010-9 1.043200-9 2.906700+4 0.000000+0 1.760010-8 1.126400-89637 8454   38
 2.906800+4 0.000000+0 2.560010-8 1.638410-8 2.906800+4 1.000000+09637 8454   39
 5.970020-8 3.820810-8 2.906900+4 0.000000+0 3.810010-7 2.438410-79637 8454   40
 2.907000+4 0.000000+0 2.580010-7 1.651210-7 2.907000+4 1.000000+09637 8454   41
 7.740020-7 4.953620-7 2.907100+4 0.000000+0 2.290010-6 1.465600-69637 8454   42
 2.907200+4 0.000000+0 2.750010-6 1.760010-6 2.907300+4 0.000000+09637 8454   43
 2.590010-6 1.657610-6 2.907400+4 0.000000+0 1.310000-6 8.384030-79637 8454   44
 2.907500+4 0.000000+0 6.860020-7 4.390410-7 2.907600+4 0.000000+09637 8454   45
 1.710010-7 1.094400-7 2.907700+4 0.000000+0 2.280010-8 1.459200-89637 8454   46
 2.907800+4 0.000000+0 2.390010-9 1.529600-9 2.907900+4 0.000000+09637 8454   47
 1.66991-10 1.06874-10 2.908000+4 0.000000+0 4.33001-12 2.77121-129637 8454   48
 2.908100+4 0.000000+0 8.53003-14 5.45922-14 2.908200+4 0.000000+09637 8454   49
 0.000000+0 0.000000+0 3.006600+4 0.000000+0 2.93001-12 1.87521-129637 8454   50
 3.006700+4 0.000000+0 8.52003-11 5.45282-11 3.006800+4 0.000000+09637 8454   51
 1.590010-9 1.017600-9 3.006900+4 0.000000+0 3.300010-9 2.112010-99637 8454   52
 3.006900+4 1.000000+0 1.400000-8 8.960030-9 3.007000+4 0.000000+09637 8454   53
 1.650010-7 1.056000-7 3.007100+4 0.000000+0 1.590010-7 1.017600-79637 8454   54
 3.007100+4 1.000000+0 6.770020-7 4.332810-7 3.007200+4 0.000000+09637 8454   55
 3.250010-6 2.080010-6 3.007300+4 0.000000+0 6.500020-6 4.160010-69637 8454   56
 3.007400+4 0.000000+0 1.076000-5 6.886420-6 3.007500+4 0.000000+09637 8454   57
 1.303000-5 8.339230-6 3.007600+4 0.000000+0 1.167000-5 7.468820-69637 8454   58
 3.007700+4 0.000000+0 3.980010-6 2.547210-6 3.007800+4 0.000000+09637 8454   59
 1.720010-6 1.100800-6 3.007900+4 0.000000+0 3.390010-7 2.169610-79637 8454   60
 3.008000+4 0.000000+0 4.060010-8 2.598410-8 3.008100+4 0.000000+09637 8454   61
 2.470010-9 1.580810-9 3.008200+4 0.000000+0 1.02000-10 6.52802-119637 8454   62
 3.008300+4 0.000000+0 2.30001-12 1.47200-12 3.008400+4 0.000000+09637 8454   63
 2.24001-14 1.43360-14 3.008600+4 0.000000+0 0.000000+0 0.000000+09637 8454   64
 3.106600+4 0.000000+0 0.000000+0 0.000000+0 3.106700+4 0.000000+09637 8454   65
 1.09000-14 6.97602-15 3.106800+4 0.000000+0 5.45002-13 3.48801-139637 8454   66
 3.106900+4 0.000000+0 2.39001-11 1.52960-11 3.107000+4 0.000000+09637 8454   67
 5.90002-10 3.77601-10 3.107100+4 0.000000+0 1.160000-8 7.424020-99637 8454   68
 3.107200+4 1.000000+0 5.450020-8 3.488010-8 3.107200+4 0.000000+09637 8454   69
 5.450020-8 3.488010-8 3.107300+4 0.000000+0 7.510020-7 4.806420-79637 8454   70
 3.107400+4 1.000000+0 1.360000-6 8.704030-7 3.107400+4 0.000000+09637 8454   71
 1.360000-6 8.704030-7 3.107500+4 0.000000+0 1.083000-5 6.931220-69637 8454   72
 3.107600+4 0.000000+0 2.064010-5 1.320960-5 3.107700+4 0.000000+09637 8454   73
 2.401010-5 1.536640-5 3.107800+4 0.000000+0 2.535010-5 1.622410-59637 8454   74
 3.107900+4 0.000000+0 1.935010-5 1.238400-5 3.108000+4 0.000000+09637 8454   75
 6.620020-6 4.236810-6 3.108100+4 0.000000+0 1.800010-6 1.152000-69637 8454   76
 3.108200+4 0.000000+0 2.190010-7 1.401600-7 3.108300+4 0.000000+09637 8454   77
 2.160010-8 1.382400-8 3.108400+4 0.000000+0 6.13002-10 3.92321-109637 8454   78
 3.108500+4 0.000000+0 3.32001-11 2.12481-11 3.108600+4 0.000000+09637 8454   79
 3.82001-13 2.44481-13 3.108700+4 0.000000+0 1.64355-14 1.05187-149637 8454   80
 3.206600+4 0.000000+0 0.000000+0 0.000000+0 3.206700+4 0.000000+09637 8454   81
 0.000000+0 0.000000+0 3.206800+4 0.000000+0 0.000000+0 0.000000+09637 8454   82
 3.206900+4 0.000000+0 0.000000+0 0.000000+0 3.207000+4 0.000000+09637 8454   83
 2.43001-13 1.55520-13 3.207100+4 0.000000+0 6.63002-12 4.24321-129637 8454   84
 3.207100+4 1.000000+0 6.63002-12 4.24321-12 3.207200+4 0.000000+09637 8454   85
 4.93002-10 3.15521-10 3.207300+4 0.000000+0 7.050020-9 4.512010-99637 8454   86
 3.207300+4 1.000000+0 1.650010-9 1.056000-9 3.207400+4 0.000000+09637 8454   87
 1.180000-7 7.552020-8 3.207500+4 0.000000+0 1.480000-7 9.472030-89637 8454   88
 3.207500+4 1.000000+0 9.880030-7 6.323220-7 3.207600+4 0.000000+09637 8454   89
 7.340020-6 4.697610-6 3.207700+4 0.000000+0 1.641010-5 1.050240-59637 8454   90
 3.207700+4 1.000000+0 2.450010-6 1.568010-6 3.207800+4 0.000000+09637 8454   91
 6.705020-5 4.291210-5 3.207900+4 1.000000+0 5.802020-5 3.713290-59637 8454   92
 3.207900+4 0.000000+0 5.802020-5 3.713290-5 3.208000+4 0.000000+09637 8454   93
 1.504700-4 9.630110-5 3.208100+4 0.000000+0 1.091100-4 6.983060-59637 8454   94
 3.208200+4 0.000000+0 5.464020-5 3.496970-5 3.208300+4 0.000000+09637 8454   95
 1.477000-5 9.452830-6 3.208400+4 0.000000+0 1.790010-6 1.145600-69637 8454   96
 3.208500+4 0.000000+0 2.690010-7 1.721610-7 3.208600+4 0.000000+09637 8454   97
 1.320000-8 8.448030-9 3.208700+4 0.000000+0 6.47986-10 4.14711-109637 8454   98
 3.208800+4 0.000000+0 1.48000-11 9.47203-12 3.208900+4 0.000000+09637 8454   99
 3.91404-13 2.50499-13 3.209000+4 0.000000+0 4.94996-14 3.16797-149637 8454  100
 3.306900+4 0.000000+0 0.000000+0 0.000000+0 3.307100+4 0.000000+09637 8454  101
 0.000000+0 0.000000+0 3.307200+4 0.000000+0 3.84001-14 2.45761-149637 8454  102
 3.307300+4 0.000000+0 2.77001-12 1.77281-12 3.307400+4 0.000000+09637 8454  103
 2.99001-11 1.91361-11 3.307400+4 1.000000+0 6.98002-11 4.46721-119637 8454  104
 3.307500+4 0.000000+0 3.910010-9 2.502410-9 3.307600+4 0.000000+09637 8454  105
 6.390020-8 4.089610-8 3.307700+4 0.000000+0 6.200020-7 3.968010-79637 8454  106
 3.307800+4 0.000000+0 5.370020-6 3.436810-6 3.307900+4 0.000000+09637 8454  107
 3.250010-5 2.080010-5 3.308000+4 0.000000+0 9.914030-5 6.344980-59637 8454  108
 3.308100+4 0.000000+0 2.562610-4 1.640070-4 3.308200+4 0.000000+09637 8454  109
 1.531900-4 9.804190-5 3.308200+4 1.000000+0 1.531900-4 9.804190-59637 8454  110
